count,time_s,lux,press,temp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
45,0.647749,243.869171,1011.60083,29.726562,0.304443,0.851746,1.635742,49.671623,-138.509277,107.903671,-53.194286,63.185196,-266.504669
46,0.660473,243.869171,1011.613525,29.726562,0.363037,0.902039,1.603027,11.829828,-126.058113,121.636581,-45.371601,36.331486,-268.018921
47,0.673171,243.869171,1011.605225,29.726562,0.447998,0.874207,1.647949,-14.65943,-107.564461,131.890488,-56.323364,37.911118,-275.590088
48,0.688015,243.869171,1011.626709,29.726562,0.559814,0.877136,1.671387,-19.359137,-90.352547,132.928085,-62.581516,41.070374,-284.675476
49,0.73261,243.869171,1011.634766,29.726562,0.672119,1.125183,1.813477,13.355707,-119.344246,56.145859,-61.016975,17.375929,-301.332031
50,0.745307,243.869171,1011.576172,29.726562,0.565674,1.045105,1.721191,-16.002203,-101.27784,120.171738,-43.80706,9.477779,-317.988556
51,0.757999,243.869171,1011.586426,29.726562,0.594971,0.927429,1.52002,-29.063726,-96.700203,129.265976,-34.41983,0,-299.81778
52,0.772725,243.869171,1011.637207,29.726562,0.645752,0.913269,1.566406,-7.335211,-85.347664,92.156601,-43.80706,18.955559,-302.846222
53,0.785388,243.869171,1011.586182,29.726562,0.641357,0.909851,1.596191,21.534418,-65.755379,59.624863,-35.984371,11.057408,-328.588165
54,0.798079,243.869171,1011.604004,29.726562,0.626221,0.956238,1.650879,36.671135,-48.72657,28.802109,-37.548908,-6.31852,-321.017029
55,0.81075,243.869171,1011.625732,29.726562,0.660889,0.951355,1.660645,33.924553,-34.078133,23.61412,-34.41983,0,-321.017029
56,0.825462,243.869171,1011.623535,29.726562,0.647705,0.917175,1.659668,17.933344,-22.603523,44.060898,-46.936134,12.637039,-321.017029
57,0.838143,243.869171,1011.613525,29.726562,0.604736,0.867371,1.617676,2.918695,-19.673836,67.315292,-39.113445,-4.73889,-322.53125
58,0.850804,243.869171,1011.590576,29.726562,0.574463,0.849792,1.591309,-10.264898,-20.223152,79.644394,-45.371601,7.898149,-325.559723
